1-16-1	13-16-1
1-27-23	19-27-23
1-27-23	43-27-23
1-27-23	7-27-23
1-27-24	7-27-24
1-27-25	25-27-25
1-27-25	7-27-25
1-27-29	13-27-29
1-27-3	13-27-3
1-27-3	25-27-3
1-27-31	13-27-31
1-27-31	7-27-31
1-27-32	13-27-32
1-27-32	7-27-32
1-27-33	13-27-33
1-27-34	37-27-34
1-27-34	7-27-34
1-27-35	43-27-35
1-27-35	7-27-35
1-27-36	13-27-36
1-27-36	7-27-36
1-27-37	13-27-37
1-27-38	13-27-38
1-27-40	13-27-40
1-27-42	13-27-42
1-27-44	7-27-44
1-27-49	13-27-49
1-27-5	13-27-5
1-27-50	13-27-50
1-27-50	31-27-50
1-27-50	43-27-50
1-27-50	49-27-50
1-27-51	13-27-51
1-27-52	13-27-52
1-27-55	13-27-55
1-27-56	13-27-56
1-27-58	19-27-58
1-27-59	13-27-59
1-27-6	13-27-6
1-27-60	13-27-60
1-27-61	1-33-58
1-27-61	19-27-61
1-27-61	7-33-58
1-27-62	13-27-62
1-27-64	7-27-64
1-27-65	7-27-65
1-27-67	7-27-67
1-27-7	13-27-7
1-27-71	13-27-71
1-27-71	31-27-71
1-27-71	43-27-71
1-27-75	13-27-75
1-27-75	25-27-75
1-27-75	49-27-75
1-27-76	25-27-76
1-27-78	13-27-78
1-27-78	19-27-78
1-27-78	25-27-78
1-27-78	7-27-78
1-27-79	13-27-79
1-27-84	7-27-84
1-27-87	13-27-87
1-27-88	13-27-88
1-27-88	2-6-6
1-27-88	25-27-88
1-27-88	8-6-6
1-27-89	13-27-89
1-27-89	43-27-89
1-27-89	55-27-89
1-27-89	7-27-89
1-27-91	13-27-91
1-27-93	13-27-93
1-27-94	43-27-94
1-28-1	13-28-1
1-28-1	19-28-1
1-28-1	43-28-1
1-28-10	7-28-10
1-28-11	13-28-11
1-28-11	2-28-11
1-28-11	43-28-11
1-28-11	7-28-11
1-28-13	13-28-13
1-28-13	19-28-13
1-28-13	7-28-13
1-28-14	13-28-14
1-28-14	7-28-14
1-28-15	2-3-79
1-28-16	13-28-16
1-28-17	13-28-17
1-28-17	7-28-17
1-28-18	43-28-18
1-28-18	7-28-18
1-28-19	13-28-19
1-28-19	43-28-19
1-28-19	7-28-19
1-28-2	13-28-2
1-28-21	13-28-21
1-28-22	13-28-22
1-28-23	13-28-23
1-28-24	13-28-24
1-28-24	25-28-24
1-28-24	43-28-24
1-28-27	13-28-27
1-28-29	13-28-29
1-28-3	13-28-3
1-28-3	43-28-3
1-28-32	1-47-80
1-28-32	1-52-56
1-28-32	7-47-80
1-28-32	7-52-56
1-28-33	37-28-33
1-28-34	13-28-34
1-28-35	13-28-35
1-28-38	13-28-38
1-28-38	43-28-38
1-28-39	13-28-39
1-28-39	25-28-39
1-28-41	13-28-41
1-28-45	13-28-45
1-28-46	13-28-46
1-28-47	7-28-47
1-28-49	13-28-49
1-28-49	7-28-49
1-28-50	19-28-50
1-28-50	25-28-50
1-28-50	7-28-50
1-28-51	43-28-51
1-28-51	7-28-51
1-28-56	13-28-56
1-28-56	7-28-56
1-28-6	13-28-6
1-28-60	7-28-60
1-28-62	43-28-62
1-28-62	7-28-62
1-28-63	13-28-63
1-28-64	7-28-64
1-28-65	13-28-65
1-28-65	7-28-65
1-28-68	13-28-68
1-28-68	19-28-68
1-28-69	13-28-69
1-28-69	43-28-69
1-28-71	7-28-71
1-28-72	13-28-72
1-28-74	13-28-74
1-28-75	7-28-75
1-28-77	1-53-72
1-28-77	13-28-77
1-28-77	19-53-72
1-28-77	25-53-72
1-28-77	3-4-19
1-28-77	7-53-72
1-28-77	9-4-19
1-28-78	13-28-78
1-28-8	7-28-8
1-28-80	13-28-80
1-28-82	13-28-82
1-28-83	25-28-83
1-28-86	7-28-86
1-28-87	7-28-87
1-28-90	13-28-90
1-28-91	13-28-91
1-28-91	19-28-91
1-28-92	13-28-92
1-28-93	13-28-93
1-28-94	13-28-94
1-28-94	7-28-94
1-29-10	13-29-10
1-29-10	19-29-10
1-29-10	7-29-10
1-29-11	13-29-11
1-29-11	7-29-11
1-29-12	43-29-12
1-29-12	7-29-12
1-29-13	13-29-13
1-29-13	7-29-13
1-29-14	7-29-14
1-29-15	13-29-15
1-29-15	19-29-15
1-29-15	43-29-15
1-29-15	7-29-15
1-29-2	13-29-2
1-29-20	13-29-20
1-29-21	13-29-21
1-29-23	13-29-23
1-29-24	13-29-24
1-29-26	13-29-26
1-29-28	13-29-28
1-29-3	13-29-3
1-29-30	13-29-30
1-29-32	13-29-32
1-29-34	13-29-34
1-29-34	19-29-34
1-29-37	13-29-37
1-29-38	13-29-38
1-29-39	7-29-39
1-29-4	43-29-4
1-29-40	13-29-40
1-29-40	19-29-40
1-29-42	13-29-42
1-29-43	43-29-43
1-29-43	7-29-43
1-29-44	19-29-44
1-29-44	43-29-44
1-29-44	7-29-44
1-29-45	7-29-45
1-29-46	13-29-46
1-29-47	13-29-47
1-29-47	7-29-47
1-29-48	13-29-48
1-29-5	13-29-5
1-29-51	37-29-51
1-29-52	19-29-52
1-29-54	13-29-54
1-29-57	7-29-57
1-29-60	19-29-60
1-29-60	43-29-60
1-29-61	13-29-61
1-29-62	13-29-62
1-29-64	13-29-64
1-29-69	7-29-69
1-29-7	31-29-7
1-29-7	43-29-7
1-29-7	7-29-7
1-29-71	13-29-71
1-29-71	43-29-71
1-29-71	49-29-71
1-29-71	7-29-71
1-29-72	13-29-72
1-29-74	19-29-74
